;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10
Fallecidos (24h) en España;0;1;1;1;2;5;7;11;7;19;1;78;62;94;53;191;90;207;213;332;397;539;497;839;718;773;844;821;913;748;923;961;850;749;694;700;704;747;655;634
Fallecidos (24h) en Italia;18;27;28;41;49;36;133;97;168;196;0;439;175;368;349;345;475;427;627;793;651;601;743;683;712;919;889;756;812;837;727;760;766;681;525;636;604;542;610;570
