;France;China;Germany;Iran;Italy;Korea, South;Norway;Spain;US;United Kingdom
63;170687.0;81661.0;;94640.0;199414.0;10718.0;;;;
64;;81782.0;;95646.0;201505.0;10728.0;;;;
65;;81897.0;;96448.0;203591.0;10738.0;;;;
66;;81999.0;;97424.0;205463.0;10752.0;;;;
67;;82122.0;;98647.0;207428.0;10761.0;;;;
68;;82198.0;;99970.0;209328.0;10765.0;;;;
69;;82279.0;;;210717.0;10774.0;;;;
70;;82361.0;;;211938.0;10780.0;;;;
71;;82432.0;;;213013.0;10793.0;;;;
72;;82511.0;;;;10801.0;;;;
73;;82543.0;;;;10804.0;;;;
74;;82602.0;;;;10806.0;;;;
75;;82665.0;;;;;;;;
76;;82718.0;;;;;;;;
77;;82809.0;;;;;;;;
78;;82883.0;;;;;;;;
79;;82941.0;;;;;;;;
80;;83014.0;;;;;;;;
