;France;China;Germany;Iran;Italy;Korea, South;Norway;Spain;US;United Kingdom
1;191.0;643.0;159.0;245.0;229.0;204.0;147.0;165.0;149.0;164.0
2;204.0;920.0;196.0;388.0;322.0;433.0;176.0;222.0;217.0;207.0
3;288.0;1406.0;262.0;593.0;453.0;602.0;205.0;259.0;262.0;274.0
4;380.0;2075.0;482.0;978.0;655.0;833.0;400.0;400.0;402.0;322.0
5;656.0;2877.0;670.0;1501.0;888.0;977.0;598.0;500.0;518.0;384.0
6;959.0;5509.0;799.0;2336.0;1128.0;1261.0;702.0;673.0;583.0;459.0
7;1136.0;6087.0;1040.0;2922.0;1694.0;1766.0;996.0;1073.0;959.0;459.0
8;1219.0;8141.0;1176.0;3513.0;2036.0;2337.0;1090.0;1695.0;1281.0;802.0
9;1794.0;9802.0;1457.0;4747.0;2502.0;3150.0;1221.0;2277.0;1663.0;1144.0
10;2293.0;11891.0;1908.0;5823.0;3089.0;3736.0;1333.0;2277.0;2179.0;1145.0
11;2293.0;16630.0;2078.0;6566.0;3858.0;4335.0;1463.0;5232.0;2727.0;1551.0
12;3681.0;19716.0;3675.0;7161.0;4636.0;5186.0;1550.0;6391.0;3499.0;1960.0
13;4496.0;23707.0;4585.0;8042.0;5883.0;5621.0;1746.0;7798.0;4632.0;2642.0
14;4532.0;27440.0;5795.0;9000.0;7375.0;6088.0;1914.0;9942.0;6421.0;2716.0
15;6683.0;30587.0;7272.0;10075.0;9172.0;6593.0;2118.0;11748.0;7783.0;4014.0
16;7715.0;34110.0;9257.0;11364.0;10149.0;7041.0;2385.0;13910.0;13677.0;5067.0
17;9124.0;36814.0;12327.0;12729.0;12462.0;7314.0;2621.0;17963.0;19100.0;5745.0
18;10970.0;39829.0;15320.0;13938.0;12462.0;7478.0;2863.0;20410.0;25489.0;6726.0
19;12758.0;42354.0;19848.0;14991.0;17660.0;7513.0;3084.0;25374.0;33276.0;8164.0
20;14463.0;44386.0;22213.0;16169.0;21157.0;7755.0;3369.0;28768.0;43847.0;9640.0
21;16243.0;44759.0;24873.0;17361.0;24747.0;7869.0;3755.0;35136.0;53740.0;11812.0
22;20123.0;59895.0;29056.0;18407.0;27980.0;7979.0;4015.0;39885.0;65778.0;14745.0
23;22622.0;66358.0;32986.0;19644.0;31506.0;8086.0;4284.0;49515.0;83836.0;17312.0
24;25600.0;68413.0;37323.0;20610.0;35713.0;8162.0;4445.0;57786.0;101657.0;19780.0
25;29551.0;70513.0;43938.0;21638.0;41035.0;8236.0;4641.0;65719.0;121478.0;22453.0
26;33402.0;72434.0;50871.0;23049.0;47021.0;8320.0;4863.0;73235.0;140886.0;25481.0
27;38105.0;74211.0;57695.0;24811.0;53578.0;8413.0;5147.0;80110.0;161807.0;29865.0
28;40708.0;74619.0;62095.0;27017.0;59138.0;8565.0;5370.0;87956.0;188172.0;34173.0
29;45170.0;75077.0;66885.0;29406.0;63927.0;8652.0;5550.0;95923.0;213372.0;38689.0
30;52827.0;75550.0;71808.0;32332.0;69176.0;8799.0;;104118.0;243453.0;42477.0
31;57749.0;77001.0;77872.0;35408.0;74386.0;8961.0;;112065.0;275586.0;
32;59929.0;77022.0;84794.0;38309.0;80589.0;8961.0;;119199.0;308850.0;
33;65202.0;77241.0;91159.0;41495.0;86498.0;9037.0;;126168.0;;
34;90848.0;77754.0;96092.0;44605.0;92472.0;9137.0;;;;
35;;78166.0;;47593.0;97689.0;9241.0;;;;
36;;78600.0;;50468.0;101739.0;9332.0;;;;
37;;78928.0;;53183.0;105792.0;9478.0;;;;
38;;79356.0;;55743.0;110574.0;9583.0;;;;
39;;79932.0;;;115242.0;9661.0;;;;
40;;80136.0;;;119827.0;9786.0;;;;
